,accuracy,precision,recall,f1,auc
Parkinsons,0.7948717948717948,0.8,0.9655172413793104,0.875,0.9275862068965517
Alzheimers,0.9209302325581395,0.9338235294117647,0.8355263157894737,0.8819444444444444,0.9332639151836426
Stroke,0.8463796477495108,0.15483870967741936,0.48,0.23414634146341465,0.799156378600823
